BehaviorSpace results (NetLogo 5.2.1),,,,,,,,,,,,,,,,,,,,,,,
INDISIM3.nlogo,,,,,,,,,,,,,,,,,,,,,,,
25_simulations,,,,,,,,,,,,,,,,,,,,,,,
08/15/2016 08:44:37:480 -0400,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,30,0,30,,,,,,,,,,,,,,,,,,,,
[run number],inhibitory_k,mass_reproduction,initial_local_nutrient,viability_time,yield,length_time_feed,yield-2,availability_k,uptake_k,Bioreactor,out_reservoir_nutrient,initial_bacteria_2,maintenance_k,in_out_percent,fed_nutrient,initial_bacteria_1,[step],count turtles,count turtles with [color = pink],count turtles with [color = sky],total_biomass,total_nutrient,total_end_product
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,8,10,9,1,304.8271671,480242.5848,257.4032978
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,9,3,2,1,64.48345444,480457.466,42.53402348
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,10,7,5,2,228.1456346,480278.0727,221.9273476
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,10,5,1,4,97.99511221,480461.6952,38.30481387
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,10,5,3,2,134.15159,480394.8209,105.1791316
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,11,5,3,2,114.353614,480405.5443,94.31539882
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,10,6,5,1,201.5143978,480309.8573,190.1426577
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,9,10,9,1,326.6379476,480198.3188,301.6664339
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,10,3,2,1,67.77183945,480449.6753,50.32466051
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,11,8,6,2,237.2658958,480248.605,251.3950109
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,11,6,2,4,103.3920457,480455.5311,44.46879643
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,12,5,3,2,119.173195,480393.5198,106.3308633
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,11,5,3,2,138.469358,480380.0923,119.9077031
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,11,6,5,1,214.5562105,480280.3637,219.6362779
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,10,10,9,1,343.7402825,480154.2306,345.7299004
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,11,3,2,1,69.52217208,480441.9299,58.07005599
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,12,8,6,2,251.4229968,480216.3036,283.6963699
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,13,5,3,2,130.2186384,480378.8295,120.9924456
